"","Text","Types","Tokens","Sentences","speaker","debate","date","primary"
"text1","text1",117,244,10,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text2","text2",18,22,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text3","text3",136,253,14,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text4","text4",47,83,8,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text5","text5",85,123,7,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text6","text6",69,106,6,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text7","text7",2,2,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text8","text8",25,37,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text9","text9",12,13,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text10","text10",39,47,3,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text11","text11",93,159,11,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text12","text12",37,52,3,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text13","text13",98,161,7,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text14","text14",51,113,5,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text15","text15",84,136,8,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text16","text16",25,35,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text17","text17",61,92,5,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text18","text18",149,279,18,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text19","text19",6,8,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text20","text20",72,108,11,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text21","text21",12,16,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text22","text22",8,8,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text23","text23",10,12,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text24","text24",4,4,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text25","text25",99,145,7,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text26","text26",95,189,17,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text27","text27",20,22,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text28","text28",9,12,2,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text29","text29",6,6,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text30","text30",25,30,3,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text31","text31",14,19,2,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text32","text32",3,3,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text33","text33",135,246,12,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text34","text34",23,24,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text35","text35",8,10,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text36","text36",93,156,16,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text37","text37",12,15,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text38","text38",16,16,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text39","text39",3,6,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text40","text40",5,7,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text41","text41",4,4,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text42","text42",7,9,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text43","text43",6,6,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text44","text44",87,141,5,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text45","text45",10,12,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text46","text46",13,14,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text47","text47",6,6,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text48","text48",5,5,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
